LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
1,03/22,08:51:01,INFO   ,.main: *************** RSVP Agent started ***************,e57ec93b,.main: *************** RSVP Agent started ***************,[]
2,03/22,08:51:01,INFO   ,...locate_configFile: Specified configuration file: /u/user10/rsvpd1.conf,f4980cf7,...locate_configFile: Specified configuration file: /u/user10/rsvpd1.conf,[]
3,03/22,08:51:01,INFO   ,.main: Using log level 511,4825c962,.main: Using log level 511,[]
4,03/22,08:51:01,INFO   ,..settcpimage: Get TCP images rc - EDC8112I Operation not supported on socket.,55bd1f60,..settcpimage: Get TCP images rc - EDC8112I Operation not supported on socket.,[]
5,03/22,08:51:01,INFO   ,..settcpimage: Associate with TCP/IP image name = TCPCS,34b3a0f1,..settcpimage: Associate with TCP/IP image name = TCPCS,[]
6,03/22,08:51:02,INFO   ,..reg_process: registering process with the system,9ebcd692,..reg_process: registering process with the system,[]
7,03/22,08:51:02,INFO   ,..reg_process: attempt OS/390 registration,b0553e11,..reg_process: attempt OS/390 registration,[]
8,03/22,08:51:02,INFO   ,..reg_process: return from registration rc=0,a9304c6b,..reg_process: return from registration rc=0,[]
9,03/22,08:51:06,TRACE  ,...read_physical_netif: Home list entries returned = 7,6c7a6d9c,...read_physical_netif: Home list entries returned = 7,[]
10,03/22,08:51:06,INFO   ,"...read_physical_netif: index #0, interface VLINK1 has address 129.1.1.1, ifidx 0",9c28cb3e,"...read_physical_netif: index <*> interface <*> has address <*>, ifidx <*>","['#0,', 'VLINK1', '129.1.1.1', '0']"
11,03/22,08:51:06,INFO   ,"...read_physical_netif: index #1, interface TR1 has address 9.37.65.139, ifidx 1",9c28cb3e,"...read_physical_netif: index <*> interface <*> has address <*>, ifidx <*>","['#1,', 'TR1', '9.37.65.139', '1']"
12,03/22,08:51:06,INFO   ,"...read_physical_netif: index #2, interface LINK11 has address 9.67.100.1, ifidx 2",9c28cb3e,"...read_physical_netif: index <*> interface <*> has address <*>, ifidx <*>","['#2,', 'LINK11', '9.67.100.1', '2']"
13,03/22,08:51:06,INFO   ,"...read_physical_netif: index #3, interface LINK12 has address 9.67.101.1, ifidx 3",9c28cb3e,"...read_physical_netif: index <*> interface <*> has address <*>, ifidx <*>","['#3,', 'LINK12', '9.67.101.1', '3']"
14,03/22,08:51:06,INFO   ,"...read_physical_netif: index #4, interface CTCD0 has address 9.67.116.98, ifidx 4",9c28cb3e,"...read_physical_netif: index <*> interface <*> has address <*>, ifidx <*>","['#4,', 'CTCD0', '9.67.116.98', '4']"
15,03/22,08:51:06,INFO   ,"...read_physical_netif: index #5, interface CTCD2 has address 9.67.117.98, ifidx 5",9c28cb3e,"...read_physical_netif: index <*> interface <*> has address <*>, ifidx <*>","['#5,', 'CTCD2', '9.67.117.98', '5']"
16,03/22,08:51:06,INFO   ,"...read_physical_netif: index #6, interface LOOPBACK has address 127.0.0.1, ifidx 0",9c28cb3e,"...read_physical_netif: index <*> interface <*> has address <*>, ifidx <*>","['#6,', 'LOOPBACK', '127.0.0.1', '0']"
17,03/22,08:51:06,INFO   ,....mailslot_create: creating mailslot for timer,aea4df2a,....mailslot_create: creating mailslot for timer,[]
18,03/22,08:51:06,INFO   ,...mailbox_register: mailbox allocated for timer,4a990942,...mailbox_register: mailbox allocated for <*>,['timer']
19,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP,b8fb94c3,.....mailslot_create: creating mailslot for RSVP,[]
20,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp']
21,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP via UDP,0f7e444e,.....mailslot_create: creating mailslot for RSVP via UDP,[]
22,03/22,08:51:06,WARNING,.....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available.,cf5730b2,.....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available.,[]
23,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp-udp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp-udp']
24,03/22,08:51:06,TRACE  ,"..entity_initialize: interface 129.1.1.1, entity for rsvp allocated and initialized",fc2b88b7,"..entity_initialize: interface <*>, entity for rsvp allocated and initialized",['129.1.1.1']
25,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP,b8fb94c3,.....mailslot_create: creating mailslot for RSVP,[]
26,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp']
27,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP via UDP,0f7e444e,.....mailslot_create: creating mailslot for RSVP via UDP,[]
28,03/22,08:51:06,WARNING,.....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available.,cf5730b2,.....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available.,[]
29,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp-udp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp-udp']
30,03/22,08:51:06,TRACE  ,"..entity_initialize: interface 9.37.65.139, entity for rsvp allocated and initialized",fc2b88b7,"..entity_initialize: interface <*>, entity for rsvp allocated and initialized",['9.37.65.139']
31,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP,b8fb94c3,.....mailslot_create: creating mailslot for RSVP,[]
32,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp']
33,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP via UDP,0f7e444e,.....mailslot_create: creating mailslot for RSVP via UDP,[]
34,03/22,08:51:06,WARNING,.....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available.,cf5730b2,.....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available.,[]
35,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp-udp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp-udp']
36,03/22,08:51:06,TRACE  ,"..entity_initialize: interface 9.67.100.1, entity for rsvp allocated and initialized",fc2b88b7,"..entity_initialize: interface <*>, entity for rsvp allocated and initialized",['9.67.100.1']
37,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP,b8fb94c3,.....mailslot_create: creating mailslot for RSVP,[]
38,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp']
39,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP via UDP,0f7e444e,.....mailslot_create: creating mailslot for RSVP via UDP,[]
40,03/22,08:51:06,WARNING,.....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available.,cf5730b2,.....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available.,[]
41,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp-udp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp-udp']
42,03/22,08:51:06,TRACE  ,"..entity_initialize: interface 9.67.101.1, entity for rsvp allocated and initialized",fc2b88b7,"..entity_initialize: interface <*>, entity for rsvp allocated and initialized",['9.67.101.1']
43,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP,b8fb94c3,.....mailslot_create: creating mailslot for RSVP,[]
44,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp']
45,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP via UDP,0f7e444e,.....mailslot_create: creating mailslot for RSVP via UDP,[]
46,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp-udp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp-udp']
47,03/22,08:51:06,TRACE  ,"..entity_initialize: interface 9.67.116.98, entity for rsvp allocated and initialized",fc2b88b7,"..entity_initialize: interface <*>, entity for rsvp allocated and initialized",['9.67.116.98']
48,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP,b8fb94c3,.....mailslot_create: creating mailslot for RSVP,[]
49,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp']
50,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP via UDP,0f7e444e,.....mailslot_create: creating mailslot for RSVP via UDP,[]
51,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp-udp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp-udp']
52,03/22,08:51:06,TRACE  ,"..entity_initialize: interface 9.67.117.98, entity for rsvp allocated and initialized",fc2b88b7,"..entity_initialize: interface <*>, entity for rsvp allocated and initialized",['9.67.117.98']
53,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP,b8fb94c3,.....mailslot_create: creating mailslot for RSVP,[]
54,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp']
55,03/22,08:51:06,INFO   ,.....mailslot_create: creating mailslot for RSVP via UDP,0f7e444e,.....mailslot_create: creating mailslot for RSVP via UDP,[]
56,03/22,08:51:06,INFO   ,....mailbox_register: mailbox allocated for rsvp-udp,aa25c065,....mailbox_register: mailbox allocated for <*>,['rsvp-udp']
57,03/22,08:51:06,TRACE  ,"..entity_initialize: interface 127.0.0.1, entity for rsvp allocated and initialized",fc2b88b7,"..entity_initialize: interface <*>, entity for rsvp allocated and initialized",['127.0.0.1']
58,03/22,08:51:06,INFO   ,......mailslot_create: creating socket for querying route,d5dbd3c2,......mailslot_create: creating socket for querying route,[]
59,03/22,08:51:06,INFO   ,.....mailbox_register: no mailbox necessary for forward,59bb8298,.....mailbox_register: no mailbox necessary for forward,[]
60,03/22,08:51:06,INFO   ,......mailslot_create: creating mailslot for route engine - informational socket,45373f86,......mailslot_create: creating mailslot for route engine - informational socket,[]
